term,estimate,std.error,statistic,p.value,conf.low,conf.high,term_label
post_type_simpleLive video,-0.16857833625965132,0.1444690558528802,-1.1668819683526053,0.24375646628738853,-0.4523479875068037,0.11519131498750104,post_type_simpleLive video
post_type_simplePhoto post,0.7096096000577328,0.10389542715033513,6.830036889216869,2.2251427597621882e-11,0.5055356621851974,0.9136835379302681,post_type_simplePhoto post
post_type_simpleStatus post,0.4078049750580827,0.21354454758440963,1.9096950948695426,0.05668495515429733,-0.0116444456917017,0.8272543958078671,post_type_simpleStatus post
post_type_simpleVideo post,0.4563294772329964,0.129088605350111,3.535009739979378,4.4160719928956467e-4,0.20277048285924043,0.7098884716067524,post_type_simpleVideo post
weekdayMonday,-0.13344430979461572,0.13549432265696537,-0.9848701198533629,0.32511471251676416,-0.39958557069889444,0.13269695110966298,weekdayMonday
weekdaySaturday,0.2591958366290188,0.16908886139912094,1.5328971671126665,0.12586793809467392,-0.07293263853641252,0.5913243117944501,weekdaySaturday
weekdaySunday,0.31600567855735073,0.16568211260373136,1.907301117732331,0.056994763877835614,-0.0094311773416072,0.6414425344563086,weekdaySunday
weekdayThursday,0.015760635743843066,0.12782393595637462,0.1232995653429265,0.9019142827098482,-0.2353142640901868,0.26683553557787293,weekdayThursday
weekdayTuesday,-0.08224675366540081,0.1310595443585756,-0.6275525683225005,0.5305538027480317,-0.33967711462184536,0.17518360729104376,weekdayTuesday
weekdayWednesday,-0.12661034844568111,0.13380320890727823,-0.9462429898330648,0.34443423399338746,-0.38942988238126774,0.13620918548990554,weekdayWednesday
log_followers_at_posting,0.8130872717000974,0.0340785633784848,23.859200362108954,2.9654559360136337e-87,0.7461493244156319,0.880025218984563,Followers at posting (log)
covid_keyword,-0.04672782986996524,0.0909563295678882,-0.5137391767231373,0.6076377232117859,-0.2253864759573662,0.13193081621743571,COVID-related post
defensive,0.7391870355573243,0.10980069331020588,6.732079855534187,4.163177575351236e-11,0.5235138295313747,0.954860241583274,Defensive
excellence,0.19172652827150985,0.10941913061289818,1.7522212724372477,0.08028502371127692,-0.02319720297657324,0.40665025951959294,Excellence
framing_crisis,0.07822682998195399,0.10432517477297036,0.7498365581671836,0.4536691691909438,-0.12669122867672183,0.2831448886406298,Framing the crisis
self_enhancement,0.3414871599955433,0.11118976135731917,3.0712104768184627,0.0022357831857599928,0.12308551255381178,0.5598888074372748,Self-enhancement
framing_organization,-0.18829763016657694,0.10154634466415337,-1.8543023955154483,0.06422331762661705,-0.3877574427932644,0.011162182460110526,Framing the organization
routine_communication,0.06834962073882987,0.13081643675176907,0.5224849601164936,0.6015400838165597,-0.1886032223132319,0.32530246379089167,Routine communication
accommodative,-0.11534584180241934,0.09714639988491783,-1.187340364018235,0.2355985881289595,-0.30616317533114773,0.07547149172630906,Accommodative
interorganizational_relationships,-0.04535047815017884,0.1000433906000717,-0.4533080884020572,0.6505031334544312,-0.24185815166245786,0.15115719536210018,Interorganizational relationships
action,-0.029133186014964573,0.11476416247970833,-0.2538526434165863,0.7997029106681782,-0.2545557595223493,0.1962893874924202,Action
