strategy,strategy_label,n_posts,share_of_posts,mean_interactions_when_present,mean_interactions_when_absent
self_enhancement,Self-enhancement,315,54.310344827586206,1312.7015873015873,989.7924528301887
interorganizational_relationships,Interorganizational relationships,283,48.79310344827586,1046.3886925795052,1278.3434343434344
excellence,Excellence,247,42.58620689655173,1216.2753036437248,1127.2552552552552
accommodative,Accommodative,240,41.37931034482759,1230.5208333333333,1119.0323529411764
framing_organization,Framing the organization,219,37.75862068965517,1011.7351598173516,1258.2437673130194
defensive,Defensive,193,33.275862068965516,1119.39896373057,1187.9896640826873
framing_crisis,Framing the crisis,166,28.620689655172416,950.1867469879518,1251.3647342995168
action,Action,98,16.896551724137932,848.3673469387755,1229.5767634854772
routine_communication,Routine communication,90,15.517241379310345,918.5888888888888,1210.4551020408164
